"article_title","merged_string","text_date"
"Brasilien ermittelt gegen Banken – darunter UBS und CS","Die brasilianische Aufsichtsbehörde Cade wirft den 15 Finanzinstituten vor, die Wechselkurse zu ihren Gunsten beeinflusst und von 2007 bis mindestens 2013 Wettbewerber von Transaktionen abgehalten zu haben. Händler, die sich selbst als «Das Kartell» oder «Die Mafia» bezeichnet hätten, nutzten nach Erkenntnissen der Ermittler einen nicht-öffentlichen Chatroom, um an den Devisenkursen zu schrauben. Ermittlungen auch gegen Einzelpersonen: Im Visier der brasilianischem Behörde sind neben UBS und CS auch die britischen Banken HSBC, Royal Bank of Scotland, Standard Chartered und Barclays, die US-amerikanische Institute Citigroup, JPMorgan, Bank of America und Morgan Stanley, die Royal Bank of Canada sowie Nomura und Tokyo-Mitsubishi UFJ aus Japan. Zudem liefen Ermittlungen gegen 30 Einzelpersonen, deren Namen nicht genannt wurden, hiess es von Seiten der Behörden. Kein Kommentar von UBS und CS: Bei der UBS wurde auf Anfrage kein Kommentar zu den Untersuchungen abgegeben. Ebenso bei der CS. Einen Kommentar zu den Anschuldigungen aus Brasilien gab auch keines der anderen betroffenen Finanzinstitute ab. Im Mai 2015 hatten sich die UBS und andere Banken im Zusammenhang mit Manipulationen im Devisenhandel bereits mit den US-Behörden geeinigt. Die grösste Schweizer Bank kam dabei um eine Strafklage herum, musste aber 342 Millionen Dollar Strafe bezahlen. Milliardenzahlungen an die USA: Zudem wurde das Non-Prosecution-Agreement im Liborfall aus dem Jahr 2012 widerrufen. Neben der UBS mussten damals auch Barclays, die Royal Bank of Scotland, JP Morgan und Citigroup eine Busse bezahlen. Alle fünf Geldhäuser zusammen überwiesen wegen Devisenmarktmanipulationen 5,7 Milliarden Dollar an die US-Behörden. Bereits im November 2014 wurden die fünf Banken von der Eidg. Finanzmarktaufsicht (Finma), der britischen Finanzaufsicht (FCA) und der US-Derivateaufsicht (CFTC) zu Strafzahlungen und Rückgabe von unrechtmässig erzielten Gewinnen verdonnert.","2015-07-02T23:33:00+02:00"
"Drohen UBS und CS neue Milliardenzahlungen?","Dieses Mal soll es um windige Geschäfte beim Verkauf von Wertpapieren gehen, die mit Hypotheken auf Wohnimmobilien abgesichert sind (Residential Mortgage Backed Securities). Das berichtet das «Wall Street Journal» unter Berufung auf eingeweihte Kreise. Bis zu drei Milliarden Busse pro Institut: Die Ermittlungen der US-Behörden gegen neun Grossbanken stehen demnach vor Abschluss. Ein möglicher Vergleich könnte bis zu drei Milliarden Dollar pro Institut kosten. Die grossen US-Geldhäuser haben bereits insgesamt 37 Milliarden Dollar bezahlt. Neben der CS und der UBS sollen die europäischen Banken Barclays, Deutsche Bank und Royal Bank of Scotland (RBS) im Fokus sein, ebenso die US-Institute Goldman Sachs, Morgan Stanley und Wells Fargo. Den Banken wird vorgeworfen, Investoren beim Verkauf der mit Immobilienkrediten besicherten Wertpapiere hinters Licht geführt zu haben. Die Papiere gelten als einer der Auslöser der Finanzkrise 2008, nachdem zahlreiche US-Hausbesitzer ihre Schulden nicht mehr begleichen konnten und die Häuserpreise massiv fielen.","2015-06-05T18:23:00+02:00"
"Das lange Strafregister der UBS","545 Millionen Dollar Strafe muss die UBS insgesamt an amerikanische Behörden bezahlen. 342 Millionen aufgrund von Manipulationen im Devisenhandel und 203 Millionen für wiederholte Verstösse im Libor-Skandal. Dies gab das amerikanische Justizministerium bekannt. Im Devisenfall kommt die UBS damit mit einem blauen Auge davon, denn das Justizministerium verzichtet auf eine Strafverfolgung. Weniger gut läuft es für die Bank im Libor-Fall. Da hat das US-Justizministerium entschieden, eine 2012 abgeschlossene Vereinbarung über einen Verzicht auf Strafverfolgung zu künden. Die UBS muss sich im Libor-Fall damit für schuldig erklären und eine dreijährige Bewährungsfrist akzeptieren. Doch die zwei neuerlichen Bussen sind nur die neusten Positionen auf einer langen Liste von Bussen und Vergleichen, welche der UBS in den letzten Jahren aufgebrummt wurden. Ein Überblick der Bussen und Vergleiche der UBS: August 2009: Nachdem klar geworden ist, dass die UBS reichen Amerikanern geholfen hat, den dortigen Fiskus zu umgehen, verlangt die USA die Herausgabe sämtlicher Namen verdächtiger Kunden. Nach langen Verhandlungen zwischen der UBS, dem Bundesrat und den amerikanischen Behörden einigt man sich auf einen Vergleich. Die USA erhalten rund 4500 UBS-Kundendaten und die Bank muss eine Busse von 780 Millionen Dollar bezahlen.Mai 2011: Die UBS einigt sich mit der amerikanischen Börsenaufsicht auf eine Strafzahlung von 160 Millionen Dollar. Der Grund: Mitarbeiter der UBS hatten während Jahren illegal agiert, um den Bieterprozess bei Auktionen von US-Kommunalanleihen zu manipulieren.November 2012: Rund 30 Millionen Pfund Busse muss die UBS im Fall Kweku Adoboli an die britische Finanzmarktbehörde bezahlen. Der Investmentbanker in Diensten der UBS hatte mit risikoreichen Spekulationen einen Handelsverlust von 2,3 Milliarden Dollar verursacht.Dezember 2012: Für die unrechtmässige Beeinflussung des Libor-Zinssatzes muss die UBS tief in die Tasche greifen. Sie zahlt rund 1,4 Milliarden an die amerikanischen, britischen und schweizerischen Behörden.Juli 2013: Die UBS kann einen Vergleich mit der amerikanischen Hypothekenmarktbehörde erzielen. Diese hatte die Grossbank beschuldigt den amerikanischen Hypothekenbanken Fannie Mae und Freddie Mac, Hypothekenpakete für rund 200 Milliarden Dollar vermittelt zu haben, die falsche Angaben enthielten. Die Beilegung des Rechtsstreits kostet die UBS 885 Millionen Dollar.6. August 2013: Die amerikanische Börsenaufsicht büsst die UBS in einer Höhe von rund 50 Millionen Dollar wegen Verstössen gegen Wertpapiervorschriften.9. August 2013: In einer Zivilrechtsklage kann sich die UBS mit US-Anlegern auf eine Zahlung von 120 Millionen Dollar einigen. Die Investoren hatte der Schweizer Grossbank vorgeworfen, sie beim Kauf von komplexen Wertpapieren absichtlich in die Irre geführt zu haben. September 2013: Die UBS-Tochter UBS Securities Japan wird im amerikanischen Bundesstaat Connecticut zu einer Busse von 100 Millionen Dollar verurteilt. Dies im Zusammenhang mit dem Verhalten der Anlagebank in der Affäre um den Libor-Zins.Juli 2014: Gegen eine Vergleichszahlung über 300 Millionen Euro stellt die Bochumer Staatsanwaltschaft die Ermittlungen gegen die UBS im Steuerstreit mit Deutschland ein.Oktober 2014: Die EU-Kommission büsst die UBS mit 12,7 Millionen Euro. Grund: Die Bank habe den Franken-Leitzins manipuliert und Preisabsprachen auf Zinsderivate getroffen.November 2014: Nach jahrelangen Manipulationen von Wechselkursen muss die UBS insgesamt 774 Millionen Franken bezahlen. 134 Millionen davon an die eidgenössische Finanzmarktaufsicht Finma, 359 Millionen Franken an die britische und 281 Millionen Franken an die amerikanische Aufsichtsbehörde. Mai 2015: Die UBS zahlt 342 Millionen Dollar im Devisenmanipulations-Fall an die amerikanische Notenbank und 203 Millionen Dolar im Libor-Fall an das US-Justizministerium.","2015-05-20T10:36:00+02:00"
"Milde Strafe für UBS stimmt Anleger positiv","Die UBS hat ihre Strafen im Skandal um Devisenmarktmanipulationen und im Libor-Skandal bekannt geben. Die Schweizer Grossbank kommt dabei als Kronzeugin besser weg als die anderen Institute. Sie muss eine Busse von 342 Millionen Dollar an das Board of Governors des Federal Reserve System zahlen. Damit wird gegen die UBS keine Strafklage erhoben und sie erhält auch eine bedingte Immunität für eine weitere Strafverfolgung. «Es mag ein wenig merkwürdig klingen, wenn eine Bank mehrere Hundert Millionen Franken Busse bezahlen muss, aber die UBS ist damit noch recht glimpflich davongekommen», ordnet der Berner Bankenjurist Peter V. Kunz die Busse ein. Ruf leidet nicht unter Strafe: Das «Department of Justice» (DoJ) hat allerdings eine andere Einigung bezüglich der Manipulation des Libor widerrufen. In diesem Fall erhebt das DoJ eine weitere Strafe gegen die UBS von 203 Millionen Dollar. Für SRF-Wirtschaftsredaktor Massimo Agostinis ist das Vorgehen des DoJ nachvollziehbar. «Die Devisenmanipulationen durch UBS-Mitarbeiter erfolgten nach dem Libor-Deal.» Aus Sicht der Behörde sei die UBS deshalb ein Wiederholungstäter. Das habe nicht nur die Millionenstrafe zur Folge, sondern auch eine dreijährige Bewährungsstrafe. Auf das laufende Quartal sollten die heute bekannt gewordenen Bussen keinen Einfluss haben, so Agostinis. «Die UBS hat dieses Geld bereits vorab zurückgestellt.» Die Anleger sahen das am Morgen ähnlich. UBS-Aktien legten zum Marktstart um fast 3 Prozent zu und hielten das Plus auch über den Mittag. Experten der ZKB begründen den Kurssprung mit dem Wegfall der Unsicherheit bezüglich des potenziell teuersten Rechtsfalls. Um den Ruf der UBS machen sich die Analysten keine Gedanken. Die diesbezüglichen negativen Effekte seien begrenzt. UBS will weiter kooperieren: Die Strafzahlung von 342 Millionen Dollar wegen der unkorrekten Geschäftspraxis im Fremdwährungsgeschäft ist nicht die erste Busse, die die UBS wegen der Manipulation von Wechselkursen einfängt. Im November 2014 musste sie bereits 774 Millionen Franken an die Schweizer Finanzmarktaufsicht Finma, die britische Aufsichtsbehörde FCA und die US-Behörde CFTC bezahlen. Knapp 3 Milliarden Franken hat die UBS an Rückstellungen für weitere Rechtsstreitigkeiten zurückgestellt. Laut Bankenjurist Peter V. Kunz eine realistische Summe. «Allerdings könnte es durchaus sein, dass man – je nach juristischer Lage – diese Summe noch einmal anpassen muss.» Viele Grossbanken könnten wie die UBS derzeit weltweit in juristische Probleme kommen.«Aber für die meisten Banken ist das inzwischen «business as usual»so Kunz. Ermittlungen auch gegen andere Finanzinstitute: Gebüsst wurden heute neben der UBS auch andere Grossbanken. Dabei erhielt die Citigroup mit 925 Millionen Dollar die härteste Strafe. Aber auch Barclays (650 Mio. Dollar), JP Morgan (550 Mio. Dollar) und die Royal Bank of Scotland (395 Mio. Dollar) mussten tief in die Taschen greifen. Zudem laufen weitere Untersuchungen anderer Behörden weiter. Man kooperiere weiterhin bei den laufenden Untersuchungen dieser Behörden in der branchenweiten Angelegenheit, die auch Einzelpersonen betreffe, hiess es dazu von Seiten der UBS.","2015-05-20T05:10:00+02:00"
"UBS mit starkem ersten Quartal","Die UBS ist sehr gut ins Jahr gestartet. Sie hat im ersten Quartal einen Gewinn von 1,97 Milliarden Franken erzielt. Mit diesem Gewinn hat die UBS die Erwartungen der Analysten deutlich übertroffen: Im Schnitt sind sie von einem Konzernergebnis von 1,14 Milliarden Franken ausgegangen. Im letzten Quartal 2014 hat die UBS 963 Millionen Franken, im Vorjahresquartal 1,05 Milliarden Franken Gewinn geschrieben. Gute Vermögensverwaltung: In der Vermögensverwaltung habe die Grossbank mit 1,1 Milliarden Franken den höchsten bereinigten Vorsteuergewinn seit 2008 erreicht, schreibt die UBS. Ebenso meldet die Grossbank eine sehr starke Entwicklung der Nettoneugelder. Der UBS sind im ersten Quartal unter dem Strich 19 Milliarden Franken neue Gelder zugeflossen. Deutlich steigern konnte sich jedoch auch die Sparte Investmentbank. Dort erhöhte sich der Vorsteuergewinn gegenüber dem Vorquartal um 232 Prozent auf 774 Millionen Franken. Das Geschäft habe von den stärkeren Schwankungen an der Börse und einer regen Kundenaktivität profitieren können, schreibt die Bank. Mit dem gute Abschneiden im ersten Quartal kann die Bank auch ihr Kapitalpolster weiter ausbauen. So hat die UBS mit einer harten Kernkapitalquote von 13,7 Prozent (CET1) bereits die geforderten Vorgaben von Basel III umsetzen können.","2015-05-05T05:03:00+02:00"
"Bradley Birkenfeld: So wurde ich zum UBS-Whistleblower","Erstmals seit er 2007 den US-Behörden Beweise über das UBS-Geschäft mit amerikanischen Steuerbetrüger lieferte, spricht Whistleblower Bradley Birkenfeld vor einer Schweizer Kamera. Im Interview mit USA-Korrespondent Arthur Honegger wirft er dem US-Justizministerium vor, jahrelang untätig gewesen zu sein und einflussreiche Steuerhinterzieher zu schützen. Birkenfeld über seine Beweggründe: Bradley Birkenfeld will die US-Behörden erst über die illegalen Geschäftspraktiken der UBS im Offshore-Geschäft informiert haben, nachdem seine Bedenken bankintern kein Gehör gefunden hatten. Auch das US-Justizministerium habe in der Angelegenheit völlig versagt. Den Vorwurf, es sei ihm um Rache an der UBS wegen des Streits um einen Bonus gegangen, weist Birkenfeld zurück. Auch habe er nie die Schweiz an den Pranger stellen wollen: «Es geht nicht um die Schweiz, sondern um Fehlverhalten auf der obersten Führungsebene der Bank.» Birkenfeld über seine Zeit im Gefängnis: 30 Monate sass Bradley Birkenfeld wegen Beteiligung an Steuerbetrug in den USA im Gefängnis. Die Verurteilung sei falsch gewesen, sagt der Ex-Banker noch heute. Schliesslich habe er Milliarden von Dollar in die US-Wirtschaft zurückgebracht.Ohnehin werde mit dem Bau und dem Betrieb von Gefängnissen viel Geld verschwendet, das besser für soziale Zwecke verwendet würde. Der wahre Grund für seine Gefängnisstrafe sei der Umstand, dass er das Justizministerium blossgestellt habe. Birkenfeld über das System UBS, Raoul Weil und Peter Kurer: Birkenfeld macht dem ehemaligen Top-Management der UBS schwere Vorwürfe. Seine damaligen Chefs hätten von den systematischen illegalen Geschäftspraktiken gewusst. Seine Belege dafür hätten die US-Justizbehörden jedoch nie sehen wollen: «Das Justizministerium will seine Inkompetenz und kriminellen Machenschaften vertuschen», sagt Birkenfeld. Birkenfeld über US-Kunden der UBS, den Steuerstreit und die CS: Die UBS habe in Zürich spezielle Konten für «politisch exponierte Personen», so genannte «PEP», unterhalten, sagt Birkenfeld. Einflussreiche Besitzer solcher Konten seien von den US-Justizbehörden bei deren Ermittlungen geschützt worden. Ausserdem sei auch die Credit Suisse erst von den Behörden verfolgt worden, nachdem der Senat aufgrund seiner, Birkenfelds, Informationen Druck ausgeübt habe. In einer schriftlichen Stellungnahme bestätigt die UBS die Existenz spezieller Abteilungen für politisch exponierte Personen: «Praktisch jede grosse Bank hat PEP-Kunden. Diese Kunden werden speziell und verschärft überprüft – um sicher zu gehen, dass die damit verbundenen strengen Sorgfaltspflichten eingehalten werden. Diese Prüfungen werden auch regelmässig wiederholt.» Birkenfeld über seine Millionenprämie, die Zukunft und die Schweiz: Birkenfeld kassierte die Rekordsumme von 104 Millionen US-Dollar aus dem so genannten Whistleblower-Programm. Ums Geld sei es ihm aber nie gegangen, sagt er. Er habe lediglich das Richtige tun wollen, Whistleblower seien gewissermassen ein verlängerter Arm des Gesetzes. Derzeit unterstütze er die französischen Behörden mit Informationen über die Geschäftspraktiken der UBS. Dasselbe wie in den USA habe die Bank nämlich auch in Frankreich gemacht. Ausserdem arbeite er an einem Buch, um der Welt seine Sicht der Dinge darzulegen. Er hoffe, dereinst in die Schweiz zurückzukehren: «Hoffentlich verstehen die Leute, dass ich das Richtige getan habe und dass es der Schweiz am Ende geholfen hat.»","2015-05-02T17:28:00+02:00"
"UBS-Chef: Negativzinsen bedrohlicher als Pleite in Athen","Für die Grossbank UBS wäre eine Pleite des verschuldeten Griechenlands ein «vernachlässigbares Ereignis». Diese Risiken habe die Bank schon lange abgebaut, sagte Präsident Axel Weber. «Ich komme gerade vom Treffen des Internationalen Währungsfonds zurück. Da lautet der Konsens zunehmend, dass ein Zahlungsausfall Griechenlands auch systemisch beherrschbar wäre», sagte Weber gegenüber der «Neuen Zürcher Zeitung». Falsche Anreize durch Negativzinsen: Sorgen bereiten ihm hingegen die Folgen der Negativzins-Politik in der Schweiz. Sie würden falsche Anreize für Sparer und Pensionskassen schaffen. «Die niedrigen, teilweise sogar negativen Zinsen treiben diese in riskantere Anlagen». Früher sei null Ertrag auf Bargeld die absolute Untergrenze gewesen. Wenn Preise wie heute fallen, sei Bargeld plötzlich gar keine so schlechte Anlage mehr. «Das kann auf Dauer nicht gutgehen», sagte Weber. Erneut mahnte er, Europa müsse seine strukturellen Probleme lösen. Dann werde auch der Druck auf den Franken abnehmen. Weber stellte sich zudem hinter die strengeren Kapitalanforderungen für Banken. «Die Schweiz kann und sollte keine Abstriche beim Kapitalregime machen», sagte er. «Für uns ist mehr Kapital ein Wettbewerbsvorteil.» Wenn der Rest der Welt sich dem Schweizer Standard annähere, werde die ganze Welt sicherer.","2015-04-25T03:49:00+02:00"
"Steuerstreit zwischen Frankreich und UBS-Tochter spitzt sich zu","Der Schweizer Grossbank UBS droht in Frankreich neues Ungemach. Gegen die französische Tochter des Geldhauses wurde offiziell ein Ermittlungsverfahren eröffnet, wie die UBS mitteilt. Ausserdem hätten die Behörden eine Kaution über 40 Millionen Euro gefordert. Hintergrund sind bereits seit drei Jahren laufende Untersuchungen, ob die UBS-Tochter Kunden beim Steuerbetrug geholfen hat. Bisher wurde in dieser Sache nicht formell gegen die Bank-Tochter ermittelt. UBS sieht keinen Rechtsverstoss: Die UBS kündigte an, sich gegen die Entscheidungen der Ermittler zur Wehr zu setzen. Nach ihrer Auffassung hat sie sich keinen Rechtsverstoss vorzuwerfen. Die Bank habe umfassend mit den Ermittlern kooperiert und werte die Kaution als Strafe. Die grösste Schweizer Bank steht seit 2012 im Visier der französischen Justiz. Bereits im Herbst musste das Institut eine Kaution von 1,1 Milliarden Euro hinterlegen, nachdem es mit einem Einspruch vor Gericht gescheitert war. Die UBS sprach damals von einem stark politisch aufgeladenen Verfahren.","2015-03-28T10:21:00+01:00"
"UBS-Chef Ermotti verdiente mehr als 11 Millionen Franken","Rund 80 Millionen Franken gab die UBS im Jahr 2014 für Vergütungen ihres Top-Managements aus. Das ist weniger als im Vorjahr. Damals waren noch mehr als 82 Millionen auf die Konten der Führungsriege geflossen. Dies geht aus dem Geschäftsbericht der Bank hervor. Doch nicht alle Top-Manager mussten sich mit kleineren Gehältern zufrieden geben: UBS-Chef Sergio Ermotti verdiente knapp eine halbe Million Franken mehr als im Vorjahr und erhielt insgesamt 11,16 Millionen Franken an Gehalt und Bonus. Anders Verwaltungsratspräsident Axel Weber: Er verdiente 2014 insgesamt 5,94 Millionen Franken. Im Jahr davor hatte er 6,07 Millionen Franken erhalten. Insgesamt schüttete die Bank Boni von 3,1 Milliarden Franken aus. Weniger Gewinn vor Steuern: Wie aus dem Geschäftsbericht weiter hervorgeht, musste die Grossbank ihren Gewinn für 2014 auf 3,47 Milliarden Franken reduzieren. Im Februar ging sie noch von einem Gewinn von 3,57 Milliarden Franken aus. Die UBS musste nun aber mehr Geld für Rechtsstreitigkeiten beiseitelegen: Statt 2,92 Millarden Franken schlagen diese nun mit 3,05 Milliarden Franken zu Buche. Der Anstieg der Rückstellungen hat mit einer Sammelklage in den USA im Zusammenhang mit der Manipulation von Devisenkursen (Forex) zu tun. Die UBS konnte sich diesbezüglich mit Zivilklägern einigen und hat im laufenden Monat ein Abkommen mit ihnen geschlossen. Dafür bezahlte sie rund 135 Millionen Franken. Die Kläger warfen verschiedenen Banken Absprachen im Devisenhandel zu ihren Ungunsten vor. Sie klagten entsprechend auf Verletzung der Kartellgesetze und ungerechtfertigte Bereicherung. Die UBS habe nun mit den Klägern ein Abkommen getroffen, das noch von einem US-Gericht genehmigt werden müsse, heisst es im Geschäftsbericht. Neben der Zahlung habe sich die UBS unter anderem auch verpflichten müssen, in der Sammelklage zu kooperieren. Vor einigen Wochen hatte sich bereits die US-Bank JPMorgan mit Zivilklägern in der gleichen Sache geeinigt. UBS musste höchste Busse bezahlen: Der Forex-Fall beschäftigt die Banken schon seit dem Herbst 2013. Im vergangenen November hatten dann Aufsichtsbehörden in der Schweiz, in Grossbritannien und in den Vereinigten Staaten deswegen fünf Grossbanken Zahlungen in Höhe von insgesamt knapp 3,4 Milliarden Dollar auferlegt. Die UBS musste mit insgesamt 774 Millionen Franken die grösste Summe unter den fünf Instituten berappen und im Devisenhandel zudem organisatorische Auflagen erfüllen. Das Thema ist allerdings auch nach der Einigung mit den US-Zivilklägern für die UBS weiterhin nicht vom Tisch. So ermitteln weitere Behörden weltweit in dieser Angelegenheit, namentlich auch das US-Justizdepartement (DoJ). Die Strafen der Behörde sind für gewöhnlich saftig. In der Schweiz läuft zudem weiterhin eine Untersuchung der Wettbewerbskommission (Weko).","2015-03-13T08:42:00+01:00"
"UBS und CS erneut im Visier von US-Ermittlern","Manipulierter Liborzinssatz, manipulierte Devisenkurse – und nun sollen Edelmetallkurse beeinflusst worden sein: Die Grossbanken kommen nicht aus den Schlagzeilen. Laut einem Bericht des «Wall Street Journal» untersuchen das amerikanische Justizministerium und die Derivate-Aufsicht CFTC, ob verschiedene Banken den Handel mit Edemetallen manipuliert haben. Die Behörden schauten sich die Preisfindung für Gold, Silber, Platin und Palladium in London an, heisst es. Anfällig für Manipulationen: Laut der Zeitung sind folgende Banken im Visier der Ermittler: UBS, Credit Suisse, Deutsche Bank, HSBC, Barclays, Goldman Sachs, JP Morgan, Société Générale, Bank of Nova Scotia und die Standard Bank. Die betroffenen Banken wollten sich nicht zu den Vorwürfen äussern. Die täglichen Referenzpreise etwa für Gold und Silber werden von wenigen Banken in Telefonkonferenzen festgelegt. Dieses Verfahren ist anfällig für illegale Absprachen. Es wird deshalb schrittweise durch ein elektronisches System ersetzt.","2015-02-24T07:13:00+01:00"
"Ex-UBS-Präsident Kurer räumt Fehler ein","Viele Unternehmen seien ungenügend auf die heutigen Risiken von Gerichtsverfahren vorbereitet, sagt Peter Kurer im Gespräch mit der «Tagesschau». Er war in den Jahren 2008 und 2009 Verwaltungsratspräsident der UBS – auf dem Gipfel des Steuerstreits mit den USA. Rückblickend würde er das Geschäftsmodell der UBS «besser auf Rechtsrisiken abklopfen», so Kurer. Zudem habe die Branche unterschätzt, dass es Leute positiv zu beeinflussen gelte, damit sich diese an die Gesetze hielten. «Es braucht nur einen einzigen Mitarbeiter, der etwas Kriminelles macht, und das schlägt dann auf die ganze Bank nieder.» Entwicklung unterschätzt: Die Geschwindigkeit der Entwicklung im Steuerstreit mit den USA habe er damals unterschätzt, räumt Kurer ein. Dennoch habe die UBS das Problem sehr rasch erledigt, fünf Jahre eher als andere Schweizer Banken. Die Bussgeldzahlungen der UBS und anderer Schweizer Banken will Kurer im richtigen Verhältnis betrachtet wissen: Die Bank of America habe alleine das Neunfache an Bussen bezahlt wie alle Schweizer Banken zusammen, J.P. Morgan das Vierfache. «USA sind auf den Geschmack gekommen»: Die Art und Weise, wie die US-Justizbehörden diese Fälle abarbeiteten, habe «gar nichts mit rechtsstaatlichem Verhalten zu tun», findet Kurer. Die USA seien auf den Geschmack gekommen; solche Bussen seien eine wesentliche Einkommensquelle. Kurers Prognose: Als nächstes werde der Technologiesektor «von den Amerikanern rechtlich angegriffen und ausgeraubt».","2015-02-19T03:49:00+01:00"
"Haftbefehl in Frankreich gegen ehemalige UBS-Manager","Die französischen Justizbehörden haben offenbar einen Haftbefehl gegen drei frühere Manager der Grossbank UBS erlassen. Dies berichteten Nachrichtenagenturen mit Bezug auf Quellen aus Justizkreisen. Grund sei, dass sich die Manager auf eine Vorladung hin nicht gemeldet hätten. Die drei würden verdächtigt, gesetzeswidrig Kunden angeworben zu haben und an Steuerbetrug und Geldwäsche beteiligt gewesen zu sein. Ob die drei Personen in Frankreich oder in einem anderen Land für UBS arbeiteten, war nicht unmittelbar klar. Die Bank selbst wollte zu der Sache nicht Stellung nehmen. Polster beiseite geschafft: Die UBS steht seit 2012 im Visier der französischen Justiz. Die Behörden werfen der UBS vor, von 2004 bis 2012 reichen Franzosen geholfen zu haben, Geld vor dem Fiskus zu verstecken. Im vergangenen Herbst musste die Bank eine Kaution von 1,1 Milliarden Euro hinterlegen, nachdem sie mit einem Einspruch vor Gericht gescheitert war. Die UBS sprach damals von einem hochpolitisierten Verfahren und will weiterhin alle rechtlichen Möglichkeiten ausschöpfen. Für die Regelung von Rechtsfällen hat die Bank insgesamt 2,9 Milliarden Franken beiseite gelegt.","2015-02-17T13:44:00+01:00"
"UBS: Geld für Aktionäre, nicht aber für Zürich","Plus 13 Prozent Reingewinn: Die UBS kann mit dem Jahr 2014 zufrieden sein. Der Gewinnsprung kam allerdings auch wegen Steuergutschriften in Höhe von 1,158 Milliarden Franken zustande. Vor Steuern sank der Gewinn der Bank um gut einen Fünftel auf 2,595 Milliarden Franken. Trotzdem zahlt die UBS ihren Aktionären eine Dividende von 75 Rappen - so viel wie nie seit der Finanzkrise. Für Kanton und Stadt Zürich gibt es allerdings noch kein Geld. Die UBS kann noch immer die Verluste der Krisenjahre anrechnen. Dies dürfte sich allerdings bald ändern. Denn die UBS hat sich aus Sicherheitsüberlegungen in eine Holding umgewandelt. Mit dem neuen Rechtskleid wird die UBS neu besteuert, so dass die UBS davon ausgeht, dass sie 2016 erstmals wieder steuern zahlen wird. Keine zusätzlichen Sparübungen: In diesem Jahr rechnet die UBS allerdings mit mehr Schwierigkeiten. Der starke Franken trübt die Aussichten ebenso wie die Negativzinsen (also dass die UBS neu zahlen muss, wenn sie bei der Nationalbank Geld deponieren will). Die UBS will deshalb ihr Sparprogramm beschleunigen. Bereits letztes Jahr hatte die UBS angekündigt, in diesem Jahr eine Milliarde Franken sparen zu wollen. Was dies für die Mitarbeiterinnen und Mitarbeiter in Zürich heisst, ist nicht bekannt.","2015-02-10T11:45:00+01:00"
"UBS mit mehr Gewinn und neuem Ärger","Das Wichtigste in Kürze: Gute Ergebnisse lieferte im vergangenen Jahr vor allem die Vermögensverwaltung. Harziger lief es hingegen im Investmentbanking.Die Aktionäre dürfen sich freuen. Sie erhalten eine Dividende von 75 Rappen pro Aktie – so viel wie seit Ausbruch der Finanzkrise nicht mehr.«Die Zahlen wirken tatsächlich robust», sagt SRF-Wirtschaftsredaktorin Eveline Kobler.Die Bank bestätigte zudem neue Ermittlungen in den USA. Die Schweizer Grossbank UBS hat im vergangenen Jahr einen Reingewinn von 3,571 Milliarden Franken erwirtschaftet. Das entspricht einem Anstieg von 13 Prozent gegenüber dem Vorjahr. Der Gewinnsprung kam vor allem wegen Steuergutschriften in Höhe von 1,158 Milliarden Franken zustande. Vor Steuern sank der Gewinn der Bank um gut ein Fünftel auf 2,595 Milliarden Franken. Vermögensverwaltung top...: Nach Angaben der Bank lief es besonders in der Vermögensverwaltung gut. Im Geschäft mit reichen Privatkunden (Wealth Management) stieg der Vorsteuergewinn 2014 um vier Prozent auf 2,5 Milliarden Franken. Das sei das beste Ergebnis seit 2008, heisst es in einer Mitteilung der UBS. In der US-Vermögensverwaltung (Wealth Management Americas) betrug der Vorsteuergewinn demnach rund eine Milliarde Dollar. ... Investmentbanking schwierig: Unter Druck steht hingegen das Investmentbanking. Für diese Sparte wies die UBS einen bereinigten Vorsteuergewinn von 0,3 Milliarden Franken aus. Der Unternehmensbereich habe sich mit branchenweiten juristischen und regulatorischen Angelegenheiten auseinandersetzen und mit begrenzten Ressourcen wirtschaften müssen, heisst es dazu in der Mitteilung der Bank.     Einschätzung von SRF-Wirtschaftsredaktorin Eveline Kobler«Wenn man die UBS-Zahlen anschaut, muss man sagen, dass sie tatsächlich robust wirken», bestätigt SRF-Wirtschaftsredaktorin Eveline Kobler die tendenziell optimistischen Angaben der UBS-Spitze. Das Eigenkapitalpolster betrage nun 13 Prozent, das erfülle die derzeitigen Vorschriften des Bundes. Keine Neuigkeiten gibt es derzeit von den Rechtsverfahren, die vor allem in den USA gegen die UBS im Gange sind. Für Wirtschaftsredaktorin Kobler ist aber klar: «Altlasten überschatten die soliden Geschäftszahlen auch jetzt.» Höhere Dividende: Der kräftige Gewinnanstieg für das vergangene Jahr sorgt dafür, dass die Bank ihren Aktionären die höchste Dividende seit der Finanzkrise auszahlen wird. Sie wird auf 50 Rappen pro Aktie verdoppelt. Zudem dürfen sich die Anteilseigner über eine einmalige Zusatzdividende von 25 Rappen freuen. Für 2015 ist die Bank verhalten optimistisch. Frankenstärke und Negativzinsen könnten die Profitabilität des Konzerns zwar unter Druck setzen. Dennoch halte die UBS an ihrer Strategie fest. «Wir hatten 2015 einen guten Start», wird Konzernchef Sergio Ermotti zitiert.     Legende:                        UBS-Reingewinn seit 10 Jahren (in Milliarden Franken)                                            SEM","2015-02-10T06:53:00+01:00"
