"article_title","article_headline","article_content","text_date","article_url"
"Covid cases in U.S. could be near zero in 6 months, UBS economist says","UBS had originally estimated that the number of coronavirus infections in the U.S. would approach zero by the end of 2021.But this week's vaccine news has made the bank bring that forecast forward by six months.Seth Carpenter, chief U.S. economist at UBS, believes U.S. policymakers will disappoint markets by providing a lower-than-expected stimulus package.","In this article LONDON — The latest coronavirus vaccine developments have brightened the outlook for the U.S. economy, with UBS economists boosting their GDP forecasts for the country.  Pfizer and BioNTech announced Monday that their Covid-19 vaccine was more than 90% effective in preventing the infectious disease. The announcement fueled optimism that the pandemic could come to an end sooner rather than later, driving up stock markets globally. UBS had originally estimated that the number of coronavirus infections in the U.S. would approach zero by the end of 2021, but the vaccine news has made the bank bring that forecast forward by six months. ""We might get a situation where reported cases of Covid in the United States fall very close to zero in Q2 (second quarter) of next year. That six month difference, that two-quarter difference matters a lot, it means an extra 1 to 1.25 percentage point gain in GDP next year,"" Seth Carpenter, chief U.S. economist at UBS, told CNBC's Joumanna Bercetche on Thursday. He added that the vaccine news ""was very encouraging"" because the efficacy rate came in much higher than analysts were anticipating. The United States has experienced more than 10 million Covid-19 cases since the pandemic started. The country has seen record highs this week in terms of coronavirus hospitalizations and daily infections, with 153,496 cases on Thursday, according to Johns Hopkins University. This comes as speculation mounts on whether the U.S. economy will be shut down once again. An advisor to President-elect Joe Biden has said that closing businesses for four to six weeks could help reduce the number of infections and get the economy on track until a vaccine is approved and distributed. With cases surging in Chicago, Mayor Lori Lightfoot asked residents on Thursday to cancel Thanksgiving plans and stay indoors. Carpenter's comments differ to the caution portrayed by experts such as White House coronavirus advisor Dr. Anthony Fauci. He warned on Thursday that a vaccine may not be enough to help eradicate the disease. ""I doubt we are going to eradicate this. I think we need to plan that this is something we may need to maintain control over chronically. It may be something that becomes endemic, that we have to just be careful about,"" he said. The performance of the U.S. economy in 2021 will also depend on how much fiscal stimulus is approved. Talks between Democrats and Republicans have not yielded a deal, and there's more uncertainty in the aftermath of the presidential election. Carpenter believes U.S. policymakers will disappoint markets by providing a lower-than-expected support package. ""We are actually a little bit pessimistic here relative to where the market is, so we have written down about a $450 billion package that comes in Q1 (first quarter) next year,"" he said. In speaking with clients, he said markets are expecting $1 trillion in fiscal stimulus. UBS assumes that Republicans will retain control of the Senate. If the Senate were to be led by  Democrats, the bank believes the stimulus could be near $1 trillion. Correction: An earlier version misstated the amount in the first U.S. fiscal stimulus package.",2020-11-13,"https://www.cnbc.com/2020/11/13/vaccine-could-add-1-percentage-point-to-us-gdp-in-2021-ubs-says.html?&qsearchterm="
"Personalized nutrition could be the next plant-based meat, worth $64 billion by 2040, says UBS","Personalized nutrition could generate annual revenues as high as $64 billion by 2040, according to UBS.Big name companies such as Apple, Uber and Amazon could benefit from the massive growth opportunity.""Health data in Apple Watch could be combined with genetic information to offer personalized nutrition,"" UBS analyst Charles Eden said in a note to clients.","Imagine receiving customized nutrition advice based on your personal biologic or genetic profile. That's the ""future of food,"" according to a UBS analyst, who sees diet personalization as the next plant-based meat. Personalized nutrition could generate annual revenues as high as $64 billion by 2040, the firm said. Plus, big-name companies such as Apple, Uber and Amazon could benefit from the massive growth opportunity. ""With heightened health awareness among consumers, yet also more people suffering from ailments which are attributable to poor nutrition, there is growing demand for solutions that can improve individual nutritional choices,"" said UBS analyst Charles Eden in a note to clients on Tuesday. ""Personalised nutrition ... represents a potential such solution."" Personalization is a theme that has swept many industries in recent years. An increasing number of businesses are sending out questionnaires to customers to create profiles for their likes, dislikes and needs. Customized weight loss programs, clothing and shopping companies, makeup brands, vitamin providers, are just a few to have delved into an industry with massive growth potential, said Eden. UBS's theory is that food, medical diagnosis, technology and food delivery companies can all benefit from this industry. From services as simple as questionnaires, blood samples and genetic profiling, companies can capitalize on society's shift in support to improved nutritional habits. UBS said it sees four major industries capitalizing on this opportunity: Medical diagnosis firms to extract and interpret test results; Technology companies to develop wearable tech and integrated platforms for users to receive ongoing interactive feedback; Food producers to meet nutritional demand; And, food delivery companies to meet consumers' increasing demand for convenience. Illumina, Thermo Fisher Scientific, Apple, FitBit, Nestle, 23andMe, Ancestry.com, Unilever, Amazon Fresh and Uber Eats are some of the companies UBS mentioned as being in the game. The personalized nutrition opportunity has not been lost on current food company incumbents. ""Nestlé, the world's largest food company, has identified personalised nutrition as a major growth opportunity and has made a number of investments in the space,"" said Eden. Nestle puts money into research from brain health, pediatrics, chronic medical conditions, obesity, malnutrition, and gastro-intestinal health. Companies like Apple have bet big on personalized health, which could make the Tim Cook-led tech giant a potential pioneer in the personalized nutrition industry. Apple has identified the health care industry as an area of innovation, with its popular Apple Watch providing real-time personal health data to its wearers. ""The Apple Watch is already being used to study heart rates, perform ECGs, study eating disorders, track fitness and many other health metrics. Health data in Apple Watch could be combined with genetic information to offer personalized nutrition,"" said Eden. Even Amazon Fresh, the e-commerce giant's grocery delivery service, and Uber Eats are well-positioned to win in this budding industry, said UBS. ""Delivery will allow for increased convenience and time savings in food preparation (e.g. partnering with Delivery Hero or Uber Eats to deliver the exact meal which has been freshly prepared to meet the needs of that individual consumer),"" said Eden. Eden said affordability is the most obvious constraint on the personalized nutrition scenario in the near term. Healthier foods can be more expensive than mass produced box items, and the personalization will also come with a cost. Scientific evidence on the merits of personalizaiton are also lacking, UBS said. Data privacy is a hurdle as well if consumers don't want their medical, biological or genetic information shared with other parties. — with reporting from CNBC's Michael Bloom.",NA,"https://www.cnbc.com/2020/01/19/personalized-nutrition-could-be-the-next-plant-based-meat-worth-64-billion-by-2040-says-ubs.html?&qsearchterm="
"UBS posts 11% fall in second-quarter profit as it warns of continued credit losses","In its outlook, the bank warned that continued group credit losses could be expected in the second half of the year due to the coronavirus pandemic, but said these would be below those seen in the first half.Higher trading activity continued to bolster the bank's earnings in the period.But that was unable to offset the pandemic-induced downturn in its retail and corporate banking units.","UBS announced a net profit of $1.23 billion for the second quarter of 2020, down 11% from the same period last year ($1.4 billion) as the coronavirus pandemic weighed on earnings. Analysts polled by the bank had expected a net profit of $973 million for the quarter. The Swiss lender had reported a net profit attributable to shareholders of $1.6 billion for the previous quarter, as financial market volatility enabled the operating profits of the Swiss investment bank to surge. However, it had warned of an uncertain future in the coming quarters as the pandemic began to spread throughout the world, eventually bringing the global economy to a standstill. Higher trading activity continued to bolster the bank's earnings in the period, but was unable to offset the pandemic-induced downturn in its retail and corporate banking units. Here are the highlights from the second-quarter earnings report: The results included credit loss expenses of $272 million, of which $110 million came in personal and corporate banking and $78 million in the investment bank. In its outlook, the bank warned that continued group credit losses could be expected in the second half of the year due to the coronavirus pandemic, but said these would be below those seen in the first half. UBS also said it was reviewing the mix between cash dividends and share buybacks in light of the elevated uncertainty surrounding the Covid-19 pandemic. ""While it is premature to provide guidance for 2020, going forward the intention is to continue to pay out excess capital and maintain the overall capital returns to shareholders consistent with previous levels,"" the bank said in its earnings report, adding that share repurchases may continue in the fourth quarter depending on business development and the second-half outlook. In a statement Tuesday, UBS CEO Sergio Ermotti said: ""As we continue to face a challenging environment, we are adapting and accelerating the pace of change, supporting our clients, employees, and the economies in which we operate, while remaining focused on our strategic priorities."" Ermotti will be replaced at the helm by ING CEO Ralph Hamers on November 1 this year. Ermotti told CNBC on Tuesday morning that the scale and frequency of potential geopolitical, political and economic events in the second half of the year means more clients will be looking to alter their asset allocation before year-end. He pointed to a UBS client survey which revealed that 61% of clients are considering rebalancing their portfolios after the U.S. election on November 3, regardless of the outcome. ""If I put everything together, I do expect the second half of the year maybe not to be as benign as the first half, but still quite robust,"" Ermotti told CNBC's ""Squawk Box Europe."" He also suggested that there is a degree of either ""complacency"" or ""over-optimism"" in financial markets, with most asset classes now at or around their pre-Covid levels despite a multitude of possible tail risks. ""Credit is still not there but has been coming in a lot, and therefore there is not a lot of room for disappointment in the financial markets,"" Ermotti said. ""In that sense, should the situation deteriorate, I do expect some movements in the market to reflect the new economic data that we will see coming out after the summer.""",2020-07-21,"https://www.cnbc.com/2020/07/21/ubs-earnings-q2-2020.html?&qsearchterm="
"UBS reaches 20-year naming rights deal for NHL's Islanders Belmont Park arena","The New York Islanders' new arena located at Belmont Park will be named UBS Arena after a 20-year naming rights deal with the bank.According to a report, the agreement is worth $350 million.","The New York Islanders' new arena at Belmont Park finally has a name. Switzerland-based investment bank UBS has secured the naming rights to the National Hockey League's newest arena, which will now be called UBS Arena. The agreement is for 20 years, but a UBS Americas official declined to reveal the firm's annual fee for the rights. However, according to Sports Business Journal, which also reported the transaction, the deal is worth $350 million, and pays roughly $17.5 million per year. As part of the deal, UBS, which has its U.S. headquarters in New York City, will have increased brand awareness via exterior signage, a UBS logo placement on the roof and its logo placed on center ice for NHL games. The $1.5 billion complex in Elmont, New York, is located behind the track for the Belmont Stakes and is scheduled to open for the 2021-2022 NHL season. According to the release announcing the deal, UBS Arena and future development projects are expected to ""generate approximately $25 billion in economic activity"" and 3,000 permanent arena jobs for workers who live in the surrounding communities. In a conference call with CNBC discussing the transaction, Islanders owner Jon Ledecky said UBS is making ""a terrific commitment to the overall New York economy with this deal."" ""This is a privately funded arena and resources like a naming rights deal are critical to the success of the project,"" he said, noting the ""$100 million investment in transit and infrastructure enhancements, including the first New York Long Island Railroad station in 50 years."" Despite Covid-19 concerns, Tim Leiweke, CEO of advisory firm Oak View Group, who helped secure financing for the building, said UBS Arena is still projected to host 150 to 200 major events annually. Oak View Group also secured the naming rights for Amazon to take over Climate Pledge Arena, formerly KeyArena, in Seattle. Seattle was awarded an NHL expansion franchise in 2018. The unnamed team will be the NHL's 32nd team and it's projected to start play in the 2021-2022 season. Before the coronavirus suspended NHL games, the Islanders split time between the Barclays Center in Brooklyn and its original Nassau Coliseum home since 1972. The team announced it would be moving back to Nassau County in December 2017 with the construction of the new 18,000-seat arena at Belmont Park ""This anchors one more time the arena at Belmont and the Islanders as a fundamental part of Long Island,"" NHL Commissioner Gary Bettman said on the call with CNBC. ""It will be a boom for the Long Island economy."" The NHL will resume its play on Aug 1 in Edmonton and Toronto after suspending operations due to Covid-19 on March 12.",2020-07-22,"https://www.cnbc.com/2020/07/22/ubs-20-year-naming-rights-deal--islanders-belmont-nhl-arena.html?&qsearchterm="
"Earnings growth in Asia could jump by more than 20% this year, say UBS and Goldman Sachs","""We think we're … on the cusp of a very significant earnings recovery in Asia and so we're looking at about 24%, 25% earnings growth this year,"" Timothy Moe, chief Asia Pacific regional equity strategist at Goldman Sachs said.The hunt for yield will continue amid a low interest rate environment, said Tan Min Lan, Asia Pacific head of chief investment office at UBS Global Wealth Management. Investors can look for yield in a couple of ways — by investing in credit as well as dividend plays.Tan also addressed the impact on Chinese stocks from regulatory actions in the U.S.","SINGAPORE — Earnings growth in Asia will bounce back this year and could jump by more than 20% as the regional economy recovers, according to top wealth managers UBS Global and Goldman Sachs. ""We are looking for a strong earnings recovery across all major regions of the world,"" said Tan Min Lan, Asia Pacific head of chief investment office at UBS Global Wealth Management. ""In Asia itself, earnings actually were remarkably resilient in 2020, actually it fell by 1% versus the global earnings which declined between 25% to about 30% in some of the key regions."" ""In 2021, we think earnings in Asia will rise about 23%. There will be a broadening of recovery outside of north Asia,"" she told CNBC's ""Squawk Box Asia"" on Wednesday. Timothy Moe, chief Asia-Pacific regional equity strategist at Goldman Sachs, was also bullish on earnings growth in the region. ""We think we're … on the cusp of a very significant earnings recovery in Asia and so we're looking at about 24%, 25% earnings growth this year and then a further importantly 16% next year,"" he told CNBC's ""Squawk Box Asia."" Markets have ""obviously paid forward for that"" with their very strong performance last year, Moe added. ""But even with valuations at this extended level, as long as interest rates stay low, we think that markets can roughly hold on to their current valuation and ride the underlying earnings recovery up — which we think is going to result in some further attractive gains for markets this year, albeit … not quite as strong as we had last year,"" Moe said. The hunt for yield will continue amid a low interest rate environment, Tan from UBS said, adding that investors can look for investment returns in a couple of ways. They can take on more credit risk, for instance, by investing in emerging market bonds and sovereign U.S.-dollar Asian high-yield bonds, she said.  ""Secondly, is to look for dividend yielding stocks, because as the economy recovers, the ... economically sensitive stocks, I think their dividend payment capacity is going to be restored,"" she said. ""There are good quality companies in the financial space, in the energy space that still provide reasonable dividends.""  Tan also addressed the impact of U.S. regulatory actions on Chinese stocks. The New York Stock Exchange is set to delist three Chinese telecommunications giants after going back and forth on that decision.  The exchange first announced on Dec. 31 that U.S.-traded shares of China Telecom, China Mobile and China Unicom will be removed from the Big Board as soon as Jan. 7. It cited compliance to President Donald Trump's executive order banning investments in companies with alleged ties to China's military.  But on Tuesday, the stock exchange reversed its decision and halted the process, before making another U-turn overnight to delist the firms after all. However it plays out, Tan said that any impact on the Chinese stocks won't be too significant. ""The situation will remain fluid, and we don't really know what Joe Biden ... will do 15 days later from here,"" she said, referring to the president-elect who will be inaugurated on Jan. 20. ""But suffice to say that if we look at all the stocks impacted by the executive order, it amounts to about 5% of the MSCI China index — delisting per se is not going to have that much of an impact on these stocks,"" she added. On Tuesday, Trump signed another executive order banning transactions with eight Chinese software applications. It included digital payment platforms WeChat Pay by Tencent Holdings, and Ant Group's Alipay. The order is only set to go into effect after Trump leaves office. — CNBC's Eustance Huang contributed to this report.",NA,"https://www.cnbc.com/2021/01/07/asia-earnings-growth-could-jump-over-20percent-in-2021-ubs-and-goldman-sachs-.html?&qsearchterm="
"Peloton shares fall after UBS hits cycle maker with downgrade, citing huge stock gains","UBS on Tuesday downgraded Peloton stock to sell from neutral, saying the runup over the past year leaves more downside risk for investors from here.The investment firm raised its price target on Peloton shares to $124 from $115, adding it still believes the company has a ""long term opportunity to disrupt traditional fitness business models.""But Peloton continues to face manufacturing constraints and delivery delays that it's working to solve, which could still pose challenges this year.","In this article Peloton shares tumbled Tuesday after UBS downgraded the stock to sell from neutral, saying an incredible runup over the past year leaves more downside risk for investors from here. Shares were recently down nearly 7%, having rallied about 370% from a year ago. ""Given recent market activity, we think investors need to be wary of the rising trend of bull market optimism in a handful of businesses that have been either Covid-19 'beneficiaries' and/or have come to the public markets in the last 6-18 months,"" UBS analyst Eric Sheridan said in a note to clients. The investment firm raised its price target on Peloton shares to $124 from $115, adding it still believes the company has a ""long term opportunity to disrupt traditional fitness business models."" The stock opened Tuesday at $152.55. It hit an all-time intraday high of $171.09 on Jan. 14. Over the weekend, The New York Times published a story on Peloton that highlighted how the company's social media account ""has become a beacon for outrage about delayed deliveries and hours spent with customer service representatives."" Peloton has seen incredible growth during the Covid-19 pandemic, with more people looking to work out from home and many gyms forced to shut. But it has struggled to keep up with demand. The high-end cycle and treadmill maker has faced backlash from customers who are not receiving their orders on time and are experiencing delays for weeks on end, sometimes with little to no notice. Late last year, the company paid $420 million to acquire Precor, a fitness manufacturer based in the U.S., to allow it to make its products faster and closer to customers' homes. But it will likely take some time for these efforts to yield positive results. In November, Peloton said it expected to be operating under supply constraints ""for the foreseeable future."" ""The current valuation reflects a high level of confidence from investors on Peloton's ability to deliver outsized operating results (especially amid logistics/operational challenges...),"" UBS' Sheridan said.",2021-01-19,"https://www.cnbc.com/2021/01/19/peloton-pton-shares-fall-after-ubs-hits-cycle-maker-with-downgrade.html?&qsearchterm="
"Artificial intelligence won't replace the role of financial advisors, UBS CEO says","UBS CEO Ralph Hamers said artificial intelligence is better suited to handling day-to-day functions, like opening an account or executing trades.Technologies like AI can help financial advisors figure out the best way to serve clients, according to Hamers.Hamers said UBS is looking to adopt a ""Netflix experience"" where clients can access a ""dashboard"" of different research and products.","In this article LONDON — One of the world's biggest wealth managers doesn't think artificial intelligence can replace the role of financial advisors. Ralph Hamers, the CEO of UBS, said Wednesday that technologies like AI were better suited to handling day-to-day functions like opening an account or executing trades than advising clients. ""There is no added value for client advisors to be engaged in a process like that,"" Hamers told CNBC's Geoff Cutmore at the virtual CNBC Evolve Global Summit. ""They're advisors. They should advise."" ""Our financial advisors actually should be supported by the technology,"" Hamers said, adding that AI could be used to make sense of the research and other data that advisors don't have time for. ""That is what artificial intelligence can do, because even our client advisors can't read all the research that is there,"" he said. ""Our client advisors can't comprehend all the product options that are out there."" Europe's banking industry has seen radical change over the last decade, with new entrants like Monzo, Revolut and N26 emerging to take on incumbents with slick, digital-only services.  Covid-19 has further accelerated digital transformation in the banking sector, with many lenders racing to move away from their aging IT systems to cloud-based technology. Some are partnering with tech companies like Microsoft, Amazon and Google, as well as fintech upstarts, to hasten the process. Hamers said UBS is looking to adopt a ""Netflix experience"" where clients have access to a ""dashboard"" of different research and products to choose from. ""That's where things are going, and that's where UBS is making the next step, in terms of dealing with technology to deliver a much better service for our clients,"" he added.",2021-06-17,"https://www.cnbc.com/2021/06/17/ai-wont-replace-financial-advisors-ubs-ceo-says.html?&qsearchterm="
"European stocks close higher after Monday's sharp sell-off; UBS up 5%","European stock markets are recovering from a sharp sell-off Monday.Shares of UBS climbed over 5% after the Swiss banking giant beat second-quarter earnings expectations.Bitcoin is also in the spotlight on Tuesday after its price tumbled amid the market turmoil, falling below $30,000 for the first time in nearly a month.","LONDON — European stocks closed higher Tuesday, recovering from a sharp sell-off in the previous session on fears of a Covid-19 resurgence. The pan-European Stoxx 600 closed up by 0.5%, with basic resources shares climbing 1.5% while the travel and utilities sectors both fell 0.2%. It comes after a sharp sell-off Monday, when the European blue chip index ended the day down 2.3%, while on Wall Street the Dow Jones Industrial Average tumbled 2.1% to post its worst day since October. The major U.S. averages rebounded Tuesday, with the Dow gaining 1.7% and the S&P 500 and Nasdaq also in positive territory. On Monday, concerns about the spread of Covid-19′s delta variant prompted investors around the world to dump equities, especially those directly affected by pandemic restrictions. Here's where to invest $250,000 for the next 5 years Five stocks to buy before the year end, according to the pros Morgan Stanley says 'buy the dip' in these global growth stocks into the year-end S&P 500 hit a new high for 2023, but will the rally last? Here's HSBC forecast New Covid cases are surging in Europe and the U.S. as the delta variant spreads, largely among the young and unvaccinated, or the partially vaccinated. The U.S. is averaging about 26,000 daily cases in the last seven days, more than double the average from a month ago, according to CDC data.  Bitcoin is also in the spotlight on Tuesday after its price tumbled amid the market turmoil, falling below $30,000 for the first time in nearly a month. In earning news, Swiss banking giant UBS has beaten second-quarter earnings expectations, reporting net profit attributable to shareholders of $2 billion. UBS shares climbed 5.3% in response to the news. At the top of the Stoxx 600, Swedish industrial manufacturer Alfa Laval jumped 8% after beating profit estimates, while at the bottom of the index, compatriot home appliance company Electrolux fell more than 6.4% after issuing a supply chain warning. Enjoyed this article?For exclusive stock picks, investment ideas and CNBC global livestreamSign up for CNBC ProStart your free trial now - CNBC's Ryan Browne, Yun Li and Arjun Kharpal contributed to this market report.",2021-07-20,"https://www.cnbc.com/2021/07/20/european-markets-set-for-strong-rebound-covid-us-watched.html?&qsearchterm="
"UBS beats expectations for the first quarter; continues to reduce Russia exposure","UBS reported net profit attributable to shareholders of $2.136 billion, above forecasts compiled by the bank of $1.79 billion.The bank also said it had reduced its exposure to Russia to $0.4 billion as of March 31, compared with $0.6 billion at the end of 2021.On central bank activity, UBS CEO Ralph Hamers said: ""The ECB will closely look at what the Fed is doing and the Fed is ahead of the ECB. But also, [it's] a bit late, let's be honest.""","In this article UBS has beat expectations for the first quarter of 2022 and said it has further reduced its exposure to Russia. The Swiss bank on Tuesday reported net profit attributable to shareholders of $2.136 billion, above forecasts compiled by the bank of $1.79 billion. It marks a 17% rise from the $1.82 reported for the same period of 2021 and follows a drop in quarterly net profit to $1.35 billion at the end of the year. The bank has previously described its market risk exposure to Russia as ""limited"" and on Tuesday said it had reduced its exposure to $0.4 billion as of March 31, compared with $0.6 billion at the end of 2021. In addition, it said it had no material exposure to Ukraine or Belarus, and that it is not conducting any new business in Russia or with Russia-based clients. ""Macroeconomic, geopolitical and market factors created a high level of uncertainty in the first quarter, with Russia's invasion of Ukraine, COVID-related restrictions and lockdowns, higher volatility, the lower economic growth outlook, and concerns about higher inflation and the monetary policy response,"" the bank said in a release Tuesday. Speaking to CNBC's Geoff Cutmore Tuesday, UBS CEO Ralph Hamers said: ""It is pretty unpredictable out there."" Here are some other key metrics for the quarter: The company's stock traded almost 2% higher shortly after markets opened in Europe. A key uncertainty on the horizon is how central banks will react to higher inflation — and this can have direct consequences on banks' performance. ""The ECB will closely look at what the [U.S. Federal Reserve] is doing and the Fed is ahead of the ECB. But also, [it's] a bit late, let's be honest. So the ECB is a little bit late as well, because they don't want to ... be faster than the Fed,"" Hamers told CNBC. The European Central Bank has said it will end its asset purchases program in June, but has not yet given a precise timeline for when it might increase interest rates. ""We do expect that there will be a first hike in rates towards the end of the year on the ECB side,"" Hamers said. Another issue facing the European economy is whether the war in Ukraine will drag it into recession. European leaders have imposed tough sanctions on Russia and are considering further measures to punish the Kremlin, including a possible ban on oil imports. When asked if oil and natural gas sanctions on Russia could pose a risk for Europe, Hamers said: ""Of Russian oil not so much, of Russian gas that's a different — a much bigger challenge and that is really because large part[s] of industries are dependent on gas as their base commodity to make their product ... so that's what could cause the second order effect specifically in the European economy.""",2022-04-26,"https://www.cnbc.com/2022/04/26/ubs-earnings-q1-2022-.html?&qsearchterm="
"Super fast travel using outer space could be $20 billion market, disrupting airlines, UBS predicts","In a decade, high speed travel via outer space will represent an annual market of at least $20 billion and compete with long-distance airline flights, UBS says.UBS expects the broader space industry, which is worth about $400 billion today, will double to $805 billion by 2030.Long haul airplane flights that are more than 10 hours in duration would ""be cannibalized"" by point-to-point flights on rockets, UBS said.","UBS believes there will be very lucrative ramifications from the space flight efforts currently led by Virgin Galactic, SpaceX and Blue Origin. A lengthy UBS report published on Sunday found that, in a decade, high speed travel via outer space will represent an annual market of at least $20 billion and compete with long-distance airline flights. Space tourism will be a $3 billion market by 2030, UBS estimates. ""While space tourism is still at a nascent phase, we think that as technology becomes proven, and the cost falls due to technology and competition, space tourism will become more mainstream,"" UBS analysts Jarrod Castle and Myles Walton wrote in the note. ""Space tourism could be the stepping stone for the development of long-haul travel on earth serviced by space."" UBS expects the broader space industry, which is worth about $400 billion today, will double to $805 billion by 2030 when accounting for these innovations. While these sub-sectors would be a small part of that, Castle and Walton said ""the outlook for the space economy, space tourism and long-haul travel using space has become much more bullish."" Private space companies ""are investing aggressively across the space opportunity,"" UBS said, and the firm believes access to space ""is the enabler to broader opportunities for investment."" Long haul airplane flights that are more than 10 hours in duration would ""be cannibalized"" by point-to-point flights on rockets, UBS said. The firm pointed to SpaceX's plans to use the massive Starship rocket it is building to fly as many as 100 people around the world in minutes. SpaceX said that Starship would be able to fly from New York to Shanghai in 39 minutes, rather than the 15 hours it takes currently by airplane. UBS estimates that there are more than 150 million passengers a year that fly routes longer than 10 hours. Last year, those routes saw 527,000 routes on airplane that had an average of 309 seats, UBS said. ""If we assume that 5 percent of these flights in the future are serviced by space at $2,500 per trip, the revenue opportunity as of today would be more than $20 billion per year as of today,"" UBS said  ""Although some might view the potential to use space to service the long-haul travel market as science fiction, we think ... there is a large market,"" UBS said. UBS noted that ""it is unlikely that a rocket will carry over 300 people anytime soon,"" so the Starship's capacity of 100 will be the maximum for the foreseeable future. However, UBS believes there may be an ""increased frequency of space travel during the day to enable the same volume of passengers,"" the firm said. ""Given the length of long-haul commercial travel, and the rules around crewing and take-off and landing time slot restrictions at airports, we think a re-usable rocket (especially if not land-based) would have materially better utilisation rates than a commercial plane,"" UBS said. As a result, UBS believes the $20 billion estimate ""could prove conservative,"" the firm said. More than 10 percent of people in a recent UBS survey said they would choose a spacecraft over an aircraft for long distance travel. ""While the timing of such a long haul service is uncertain, we think our base-case assumptions are conservative,"" UBS said. The billions of dollars pouring into private space companies represents ""a high level"" of capital formation, UBS said. Even though space tourism ""is still nascent,"" UBS said they believe the sub-sector ""will become mainstream as the technology becomes proven and cost falls."" To date, space tourism has largely been limited to the few flights organized by U.S.-based Space Adventures. Over the past two decades, the company has flown seven tourists using Russian Soyuz rockets. At a reported cost of more than $20 million per person, the private clients typically spent over a week on board the International Space Station. But now ""there are a number of commercial space ventures to open up suborbital travel,"" UBS noted. Virgin Galactic and Blue Origin are leading those efforts, both getting steadily closer to launching paying tourists. ""This area seems to be the market that has the greatest potential to gain traction quickly,"" UBS said. Virgin Galactic is deep into the development program of its spacecraft. Last month, the space venture owned by Sir Richard Branson sent test passenger Beth Moses on Virgin Galactic's spaceflight – a first for a private U.S. company. Virgin Galactic's spacecraft holds up to six passengers along with the two pilots. As the company has more than 600 would-be astronauts signed on to launch, Moses' work is key to preparing Virgin Galactic for commercial operations. Tickets for Virgin Galactic's flights are priced at $250,000 each. UBS believes Virgin Galactic's business model, as both a tourism company and manufacturer of spaceships, mimics the growth of businesses in the early days of aviation. ""In this way history could repeat itself as United Airlines today can trace back its roots to the Boeing Aircraft & Transport Company,"" UBS said. Blue Origin, the company founded by Amazon CEO Jeff Bezos, is also nearing its first spaceflights with human passengers. Blue Origin is developing the New Shepard rocket system for the company's space tourism business. As both Virgin Galactic and Blue Origin utilize reusable spacecraft systems, UBS believes the companies will be able to make space tourism ""a more common occurrence"" as reliability increases and prices decline. ""We estimate space tourism will be a $3 [billion plus per year] opportunity growing at double digit-rates,"" UBS said. ""This would be similar to what happened in commercial aviation, especially after the rise of low-cost airlines."" SpaceX could also see significant cash flow from space tourism, UBS believes, through two different ventures. Elon Musk's company just completed a historic test flight of its Crew Dragon capsule, which will be able to send as many as four astronauts to the space station. UBS estimates that NASA will pay SpaceX about $58 million on average per astronaut, compared to the $81 million per astronaut for flights on Russian Soyuz rockets. The second SpaceX opportunity is for early flights of Starship to send tourists on missions beyond the Earth's immediate orbit. In September, Musk announced Japanese billionaire Yusaku Maezawa signed with SpaceX to fly around the moon on Starship. Maezawa expects to fly in 2023, with six to eight guests joining him for the flight.",NA,"https://www.cnbc.com/2019/03/18/ubs-space-travel-and-space-tourism-a-23-billion-business-in-a-decade.html?&qsearchterm="
"More people are going to the mall to eat at the food court, not shop, UBS says","UBS says apparel spending continues to move online, away from bricks-and-mortar stores, with about 25% of total apparel sales in the U.S. taking place on the internet.It expects that to grow to 31% by 2023.","More and more people are going to the mall to eat at the food court, not to buy clothes, according to a survey from UBS. The investment bank said apparel spending continues to move online, away from bricks-and-mortar stores, with about 25% of total apparel sales in the U.S. taking place on the internet today. It expects that to grow to 31% by 2023. ""Shoppers say they increasingly go to the mall to eat at the food court or just hangout instead of visiting a big box store,"" analyst Jay Sole said. ""Since the mall is no longer the place consumers discover fashion, it makes sense the reasons they visit the mall are changing. ... For the sixth straight year, U.S. consumers say the availability of online shopping is causing them to visit large regional and outlet malls less."" UBS expects the shift will hurt department store chains, such as Macy's and J.C. Penney, more than anything else. It said ""disruption"" in the apparel industry will go on for ""at least the next five years."" In its survey of more than 2,500 consumers, UBS said the percentage of people who go to the mall to shop at department stores fell to 20% this year, from 25% a year ago. It said the percentage who go to the mall to eat rose to 7% from 4%. Additionally, Sole explained younger shoppers are leading the changes. UBS said it found people between the ages of 18 and 34 buy more clothes online than older generations. It said apparel shoppers ages 18 to 24, for example, are spending 38% of their apparel budgets online this year, up from 32% in 2014. ""The internet has fundamentally challenged malls' value proposition,"" Sole went on. ""The mall, in the past, was a great aggregator. It was a one-stop-shop where consumers could see everything happening in the world of fashion. Today, the vast majority of fashion discovery happens online. ... Consumers don't need the mall to help them figure out what is cool."" Mall owners are starting to realize this, however. They're not ignorant to the shifting consumer preferences. Some of the biggest mall owners in the U.S., such as Simon Property Group, Taubman and Unibail-Rodamco-Westfield, are investing in new food hall concepts, as they increasingly devote space at their properties to entertainment uses and dining. The new American Dream mall in New Jersey, once it is complete, will be 45% retail shops and the rest of the square footage will be devoted to eateries, theme parks, a ski slope, miniature golf and an ice rink, among other things for visitors to do. Sole said in his Tuesday note that he thinks this particular Triple Five Group development can be a success.",2019-11-05,"https://www.cnbc.com/2019/11/05/people-are-going-to-the-mall-to-eat-at-the-food-court-not-shop-ubs.html?&qsearchterm="
